code,number
Egedesminde,04220
BGBW,04270
Ammassalik,04360
PAOT,70133
PABE,70219
PAMC,70231
PAFA,70261
PANC,70273
PASN,70308
PAKN,70326
PADQ,70350
PAYA,70361
PANT,70398
PASY,70414
YVQ,71043
YUX,71081
YZT,71109
WSE,71119
YQI,71603
WMW,71722
AYT,71802
YZV,71811
YJT,71815
YYR,71816
YAH,71823
WPL,71845
YQD,71867
YVP,71906
WPH,71907
ZXS,71908
YFB,71909
YYQ,71913
YRB,71924
YCB,71925
YSM,71934
YYE,71945
YEV,71957
YXY,71964
EYW,72201
MFL,72202
JAX,72206
CHS,72208
TBW,72210
FFC,72215
BMX,72230
LIX,72233
JAN,72235
LCH,72240
SHV,72248
FWD,72249
BRO,72250
CRP,72251
DRT,72261
MAF,72265
TUS,72274
NKX,72293
MHX,72305
GSO,72317
RNK,72318
BNA,72327
LZK,72340
OUN,72357
Awos,72363
EPZ,72364
ABQ,72365
FGZ,72376
VEF,72388
VBG,72393
WAL,72402
ILN,72426
SGF,72440
Awos,72451
TOP,72456
GJT,72476
REV,72489
OAK,72493
OKX,72501
PIT,72520
BUF,72528
OAX,72558
LBF,72562
SLC,72572
LKN,72582
MFR,72597
DTX,72632
APX,72634
GRB,72645
MPX,72649
ABR,72659
UNR,72662
RIW,72672
BOI,72681
SLE,72694
CAR,72712
INL,72747
BIS,72764
GGW,72768
TFX,72776
OTX,72786
CWVK,73033
AWE,73110
GYX,74389
DVN,74455
ILX,74560
XMR,74794
MMAN,76394
MMMD,76644
TXKF,78016
MKJP,78397
MDSD,78486
TJSJ,78526
MZBZ,78583
MPCZ,78807
TBPB,78954
SKSP,80001
SKBO,80222
SBBV,82022
PHLI,91165
PHTO,91285
