Radar,Reflectivity,Longitude,Latitude,Altitude,Ray,Gate
KJGX,22.0,-83.90973633401285,33.01805967340585,979.0,90,250
KJGX,21.0,-83.91190662355355,33.019379179175075,983.0,90,251
KJGX,24.5,-83.90612600141182,33.022195818290946,979.0,91,250
KJGX,23.5,-83.90828237367087,33.023531385,983.0,91,251
KJGX,22.5,-83.91043881127382,33.02486691462416,987.0,91,252
KJGX,21.0,-83.91259534792741,33.026202428031795,990.0,91,253
KJGX,23.5,-84.06601938915938,33.65462369993357,2223.0,135,502
KJGX,22.5,-84.06743588464873,33.6565368783859,2228.0,135,503
KJGX,21.0,-84.0688523102606,33.65844986124593,2234.0,135,504
KJGX,22.0,-83.21909815475009,32.758343660979406,331.0,304,53
KJGX,25.5,-83.21695419308628,32.75968658824975,334.0,304,54
KJGX,27.0,-83.21481016675295,32.7610294790124,336.0,304,55
KJGX,28.5,-83.2126660841227,32.762372328018586,339.0,304,56
KJGX,20.5,-79.70598240083284,33.89153163007286,11108.0,332,1452
KJGX,25.5,-83.36481092530082,32.58312765918999,281.0,572,33
KJGX,22.0,-83.36548396311545,32.5786672214644,286.0,572,35
KJGX,20.5,-84.8272885077524,32.279473925127625,2657.0,703,573
KJGX,21.0,-84.83234219280618,32.27808212090716,2671.0,703,575
KJGX,21.0,-84.83647823618664,32.288976048666534,2671.0,704,575
KJGX,20.5,-83.90774093328908,33.016537941406064,975.0,788,249
KJGX,25.0,-84.44814675392638,33.43110696027954,2336.0,795,521
KJGX,22.0,-83.52548981734027,32.86477912340286,454.0,820,98
KJGX,22.5,-83.5235962834062,32.86600577182646,454.0,821,98
KJGX,23.5,-84.06691923323987,33.654161690587166,2223.0,833,502
KJGX,22.5,-84.06833750322741,33.656073954039464,2228.0,833,503
KJGX,21.0,-84.06975570321869,33.65798602194489,2234.0,833,504
KJGX,20.5,-83.26977135384173,32.88874066161667,434.0,931,91
KJGX,20.5,-83.14849831171148,32.71260994593337,373.0,1051,69
KJGX,22.0,-83.17789961640995,32.698070780433646,342.0,1058,57
KJGX,23.5,-83.25914601715408,32.683473225153165,265.0,1064,26
KJGX,21.0,-83.21894036109747,32.55335837352283,362.0,1171,65
KJGX,20.5,-83.37895982642827,32.57848268581995,289.0,1283,36
KJGX,22.0,-83.4007724288547,32.63671218150322,244.0,1350,17
KJGX,25.0,-83.40468761278821,32.633654901322686,248.0,1350,19
KJGX,20.5,-83.51930638995044,32.59097884915608,362.0,1374,65
KJGX,23.5,-83.53133930487772,32.605338430133926,365.0,1386,66
KJGX,24.5,-84.82766883606709,32.26614629088397,2671.0,1400,575
KJGX,21.0,-84.83600668806405,32.287717512711005,2671.0,1402,575
KJGX,23.5,-83.53182867627193,32.65334996507901,349.0,1419,60
KJGX,24.0,-83.88664913920995,33.02870994105132,1402.0,1484,246
KJGX,21.0,-83.99668031428915,34.12338198118331,4562.0,1547,679
KJGX,21.0,-83.78410474508462,32.592357387074955,928.0,2102,158
KJGX,31.5,-83.38260940654523,32.690020092360065,240.0,2162,5
KJGX,26.5,-83.38731829466613,32.69214354984901,248.0,2162,7
KJGX,29.0,-83.3824637521339,32.690246542231726,240.0,2163,5
KJGX,23.5,-83.3871510716296,32.69240355387623,248.0,2163,7
KJGX,27.5,-83.88763634358985,33.03492909826723,1413.0,2183,248
KJGX,23.0,-84.44740922043262,33.41718556163205,3218.0,2184,517
KJGX,21.0,-83.99852184058983,34.12280784892981,4562.0,2245,679
KJGX,20.5,-83.21133970806254,32.798311479900356,498.0,2373,67
KJGX,21.0,-83.78403768348795,32.592112649018546,928.0,2800,158
KJGX,21.0,-83.8204688450326,32.595749412002,994.0,2803,171
KJGX,21.5,-83.58536993575521,32.70046019157871,555.0,2840,80
KJGX,20.5,-84.4474937921008,33.40579466063717,4096.0,3595,514
